Name,Launch Vehicle,Launch Site,Launch Date,Discipline,Launch Mass(kg),Onboard Power(W),Periapsis(km),Apoapsis(km),Period(min),Inclination(degrees),Longitude(E),Eccentricity
OceanSat-2,PSLV-C14," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",23 September 2009,Earth Sciences,960,1360,728.2,731.9,99.3,98.3,,
GSAT-4,GSLV-D3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",15 April 2010,Communications,2220,,,,,,,
CartoSat-2B,PSLV-C15," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",12 July 2010,Earth Sciences,694,930,629.9,651.4,97.4,97.9,,
StudSat (STUDent SATellite),,,,Earth Sciences,1,,605.5,622.7,96.8,98.0,,
GSAT-5P (INSAT-4D),GSLV-F06," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",25 December 2010,Communications,2310,,,,,,,
ResourceSat-2,PSLV-C16," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",20 April 2011,"Earth Sciences, Technology Applications",1206,1250,825.2,828.7,101.3,98.7,,
YouthSat (IMS-2),,,,"Solar Physics, Space Physics",92,,808.6,828.2,101.1,98.6,,
"GSAT-8 (GramSat-8, or INSAT-4G)",Ariane-5 VA-202," Centre Spatial Guyanais, Kourou",21 May 2011,Communications,3093,6242,35781,35806.3,1436.1,0.0,55,
GSAT-12 (GramSat-12),PSLV-C17," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",15 July 2011,Communications,1410,1430,35761.6,35825.9,1436.1,0.0,83,
Megha-Tropiques,PSLV-C18," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",12 October 2011,Earth Sciences,1000,1325,860.5,874.7,102.2,20.0,,
Jugnu,,,,"Earth Sciences, Technology Applications",3,,843.9,871.4,101.9,20.0,,
SRMSat,,,,"Earth Sciences, Technology Applications",10.9,,855.8,873.2,102.1,20.0,,
RISAT-1,PSLV-C19," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",26 April 2012,Earth Sciences,1858,2200,542.2,550,95.4,97.6,,
GSAT-10,Ariane-5 VA-209," Centre Spatial Guyanais, Kourou",28 September 2012,Communications,3400,6474,35783.3,35805.4,1436.1,0.1,83,
SARAL,PSLV-C20," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",25 February 2013,Earth Sciences,407,906,791.8,792.6,100.6,98.5,,
IRNSS-1A,PSLV-C22," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1 July 2013,Navigation/Global Positioning,1425,1660,35720.2,35864.3,1436.0,28.8,55.0,
INSAT-3D,Ariane-5," Centre Spatial Guyanais, Kourou",26 July 2013,Earth Sciences,2060,1164,35794,35795.3,1436.1,0.0,82.0,
GSAT-7 (INSAT-4F),Ariane-5," Centre Spatial Guyanais, Kourou",30 August 2013,Communications,2650,3000,35789.8,35798.1,1436.1,0.0,74.0,
Mars Orbiter Mission (MOM) (Mangalyaan-1),PSLV-C25," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",5 November 2013,Planetary Science,1340,840,366,80000,4602,150,,
GSAT-14,GSLV Mk.II-D5," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",5 January 2014,Communications,1982,2600,35774.5,35813.6,1436.1,0.0,74.0,
IRNSS-1B,PSLV-C24," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",4 April 2014,Navigation/Global Positioning,1432,1660,35700.5,35883.1,1436.0,29.1,55.0,
IRNSS-1C,PSLV-C26," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",16 October 2014,Navigation/Global Positioning,1425.4,1660,35715.5,35872.6,1436.1,3,83,
GSAT-16,Ariane-5," Centre Spatial Guyanais, Kourou",7 December 2014,Communications,3181.6,6000,35762.5,35824.7,1436.1,0.1,55.0,
IRNSS-1D,PSLV-C27," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",28 March 2015,Navigation/Global Positioning,1425,1660,35704.7,35885.0,1436.2,29.1,112,
GSAT-6 (INSAT-4E),GSLV Mk.II-D6," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",27 August 2015,Communications,2117,3100,35769.6,35818.4,1436.1,0.0,83,
Astrosat,PSLV-C30," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",28 September 2015,Space Sciences,1513,,642.5,655,97.6,6.0,,
GSAT-15,Ariane 5 VA-227," Centre Spatial Guyanais, Kourou",11 November 2015,Communications,3164,6200,35785.66,35802.6,1436.1,0.1,93.5,
IRNSS-1E,PSLV-C31," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",20 January 2016,Navigation/Global Positioning,1425,1660,35709.6,35875.2,1436.0,28.8,111.75,
IRNSS-1F,PSLV-C32," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",10 March 2016,Navigation/Global Positioning,1425,1660,35700.8,35889.2,1436.2,4.1,32.5,
IRNSS-1G,PSLV-C33," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",28 April 2016,Navigation/Global Positioning,1425,1660,35778.6,35808.7,1436.1,4.2,129,
Cartosat-2C,PSLV-C34," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",22 June 2016,Earth Sciences,737.5,986,504.7,526.1,94.8,97.5,,
SathyabamaSat,,,,Technology Applications,1.5,,499.2,521.8,94.7,97.5,,
Swayam-1,,,,"Communications, Technology Applications",1,,499.7,521.5,94.7,97.5,,
INSAT-3DR,GSLV-F05," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",8 September 2016,Earth Sciences,2211,1700,35767.2,35820.6,1436.1,0.0,74.0,
Pratham,PSLV-C35," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",26 September 2016,Technology Applications,10,,666.8,715.6,98.4,98.2,,
PISat,,,,Technology Applications,5.25,,666.6,713.2,98.4,98.2,,
ScatSat-1,,,,Earth Sciences,377,,723.6,741.2,99.3,98.1,,
GSAT-18,Ariane-5 ECA," Centre Spatial Guyanais, Kourou",6 October 2016,Communications,3425,6474,35760.2,35827.7,1436.1,0.1,74.0,
ResourceSat-2A,PSLV-C36," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",7 December 2016,Earth Sciences,1235,,826.3,827.6,101.3,98.7,,
CartoSat-2D,PSLV-C37," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",15 February 2017,Earth Sciences,714,,510.9,519.9,94.8,97.5,,
INS-1A,,,,Technology Applications,8.4,,500.8,515.4,94.6,97.5,,
INS-1B,,,,Technology Applications,9.7,,500.7,514.8,94.6,97.5,,
South Asia Satellite (GSAT-9),GSLV Mk.II," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",5 May 2017,Communications,2230,3500,35782.2,35805.8,1436.1,0.1,97.5,
GSAT-19 (GSAT-19E),GSLV Mk.III-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",5 June 2017,Communications,3136,4500,35781.1,35806.7,1436.1,0.1,82.5,
NIUSat,PSLV-C38," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",23 June 2017,Technology Applications,15,40,502.5,526.7,94.8,97.4,,
CartoSat-2E,,,,Earth Sciences,712,986,508.4,522.2,94.8,97.4,,
GSAT-17,Ariane-5 ECA," Centre Spatial Guyanais, Kourou",29 June 2017,Communications,3477,6200,35771,35817,1436.1,0.1,93.5,
