Name,Discipline,COSPAR ID,Launch Mass,Onboard Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Period,Inclination,Longitude,Eccentricity
GSAT-12 (GramSat-12),	Communications[219],2011-034A,"1,410 kg (3,110 lb)[219]",1430 W[220],"15 July 2011, 16:48:00 IST[221]",PSLV-C17[222]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,761.6 km (22,221.2 mi)[223]","35,825.9 km (22,261.2 mi)[223]",1436.1 mins[223],0.0[223],83 E[223],
  Megha-Tropiques,	Earth Sciences[224],2011-058A,"1,000 kg (2,200 lb)[225]",1325 W[225],"12 October 2011, 11:00:00 IST[226]",PSLV-C18[227]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",860.5 km (534.7 mi)[228],874.7 km (543.5 mi)[228],102.2 mins[228],20.0[228],,
Jugnu,"	Earth Sciences
		Technology Applications[229]",2011-058B,3 kg (6.6 lb)[229],,,,,843.9 km (524.4 mi)[230],871.4 km (541.5 mi)[230],101.9 mins[230],20.0[230],,
SRMSat,"	Earth Sciences
		Technology Applications[231]",2011-058D,10.9 kg (24 lb)[231],,,,,855.8 km (531.8 mi)[232],873.2 km (542.6 mi)[232],102.1 mins[232],20.0[232],,
RISAT-1,	Earth Sciences[233],2012-017A,"1,858 kg (4,096 lb)[233]",2200 W[233],"26 April 2012, 5:47:00 IST[234]",PSLV-C19[235]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",542.2 km (336.9 mi)[236],550 km (340 mi)[236],95.4 mins[236],97.6[236],,
GSAT-10[237],	Communications[238],2012-051B,"3,400 kg (7,500 lb)[238]",6474 W[239],"28 September 2012, 2:48:00 IST[240]",Ariane-5 VA-209," Centre Spatial Guyanais, Kourou","35,783.3 km (22,234.7 mi)[241]","35,805.4 km (22,248.4 mi)[241]",1436.1 mins[241],0.1[241],83 E[241],
SARAL[242],	Earth Sciences[243],2013-009A,407 kg (897 lb)[244],906 W[244],"25 February 2013, 18:01:00 IST[245]",PSLV-C20[246]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",791.8 km (492.0 mi)[247],792.6 km (492.5 mi)[247],100.6 mins[247],98.5[247],,
IRNSS-1A,	Navigation/Global Positioning[248],2013-034A,"1,425 kg (3,142 lb)[249]",1660 W[249],"1 July 2013, 23:41:00 IST[250]",PSLV-C22[251]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,720.2 km (22,195.5 mi)[252]","35,864.3 km (22,285.0 mi)[252]",1436.0 mins[252],28.8[252],55.0 E[252],
INSAT-3D[253],	Earth Sciences[254],2013-038B,"2,060 kg (4,540 lb)[255]",1164 W[255],"26 July 2013, 1:23:00 IST[256]",Ariane-5," Centre Spatial Guyanais, Kourou","35,794 km (22,241 mi)[257]","35,795.3 km (22,242.2 mi)[257]",1436.1 mins[257],0.0[257],82.0 E[257],
"GSAT-7
(INSAT-4F)[258][259]",	Communications[258],2013-044B,"2,650 kg (5,840 lb)[260]",3000 W[260],"30 August 2013, 2:00:00 IST[261]",Ariane-5," Centre Spatial Guyanais, Kourou","35,789.8 km (22,238.8 mi)[259]","35,798.1 km (22,243.9 mi)[259]",1436.1 mins[259],0.0[259],74.0 E[259],
