Name,Discipline,COSPAR ID,Launch Mass,Onboard Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Period,Inclination,Longitude,Eccentricity
IRS-1E,	Earth Sciences[66],,"846 kg (1,865 lb)[66]",415 W[66],20 September 1993,PSLV-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,
SROSS-C2,"	Astronomy
		Space Physics[67]",1994-027A,113 kg (249 lb)[67],45 W[68],"5 May 1994, 5:30:00 IST[69]",ASLV-D4," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",433 km (269 mi)[69],917 km (570 mi)[69],98.1 mins[69],46[69],,0.03431[69]
IRS-P2,	Earth Sciences[70],1994-068A,"870 kg (1,920 lb)[70]",510 W[71],"15 October 1994, 10:38:00 IST[72]",PSLV-D2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",819.2 km (509.0 mi)[73],820.8 km (510.0 mi)[73],101.1 mins[73],98.8[73],,0.00533[72]
INSAT-2C,	Communications[74],1995-067B,"2,050 kg (4,520 lb)[74]",1320 W[75],"7 December 1995, 4:53:00 IST[76]",Ariane-44L H10-3," Centre Spatial Guyanais, Kourou","35,918.4 km (22,318.7 mi)[77]","35,948.5 km (22,337.4 mi)[77]",1443.2 mins[77],12[77],60.57 E[77],
IRS-1C,	Earth Sciences[78],1995-072A,"1,250 kg (2,760 lb)[78]",809 W[79],"28 December 1995, 12:15:00 IST[80]",Molniya-M[78]," Baikonur Cosmodrome, Kazakhstan",823 km (511 mi)[81],824.9 km (512.6 mi)[81],101.2 mins[80],98.69[79],,0.00014[80]
IRS-P3 (IRS B3)[82],"	Astronomy
		Earth Sciences[83]",1996-017A,"930 kg (2,050 lb)[83]",817 W[84],"21 March 1996, 10:03:00 IST[85]",PSLV-D3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",820.9 km (510.1 mi)[82],827.1 km (513.9 mi)[82],101.2 mins[82],98.7[85],,0.00319[85]
INSAT-2D,	Communications[86],1997-027B,"2,079 kg (4,583 lb)[86]",1650 W[87],"4 June 1997, 4:50:00 IST[88]",Ariane-44L H10-3," Centre Spatial Guyanais, Kourou","33,225.6 km (20,645.4 mi)[89]","35,917.5 km (22,318.1 mi)[89]",1374.1 mins[89],13.5[89],125.76 E[89],
IRS-1D,	Earth Sciences[90],1997-057A,"920 kg (2,030 lb)[90]",809 W[91],"29 September 1997, 10:17:00 IST[92]",PSLV-C1[93]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",748.6 km (465.2 mi)[94],823.3 km (511.6 mi)[94],100.4 mins[94],98.4[94],,0.03719[92]
INSAT-2E (APR-1)[95],"	Communications
		Earth Sciences[96]",1999-016A,"2,550 kg (5,620 lb)[97]",,"2 April 1999, 8:30:00 IST[98]",Ariane-42P H10-3," Centre Spatial Guyanais, Kourou","35,932.1 km (22,327.2 mi)[95]","36,003.3 km (22,371.4 mi)[95]",1445 mins[95],5.3[95],107.82 E[95],
OceanSat-1 (IRS-P4),	Earth Sciences[99],1999-029C,"1,050 kg (2,310 lb)[99]",750 W[100],"26 May 1999, 11:52:00 IST[101]",PSLV-C2[102]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",723.9 km (449.8 mi)[103],726.3 km (451.3 mi)[103],99.1 mins[103],98.2[103],,0.00077[101]
INSAT-3B,	Communications[104],2000-016B,"2,070 kg (4,560 lb)[104]",1712 W[105],"22 March 2000, 4:59:00 IST[106]",Ariane-5G," Centre Spatial Guyanais, Kourou","35,949.3 km (22,337.9 mi)[107]","35,985.9 km (22,360.6 mi)[107]",1445.0 mins[107],4.3[107],107 W[107],
"GSAT-1
(GramSat-1)","	Communications
		Engineering[108]",2001-015A,"1,530 kg (3,370 lb)[109]",,"18 April 2001, 15:43:00 IST[110]",GSLV-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","33,853.1 km (21,035.3 mi)[111]","35,800.5 km (22,245.4 mi)[111]",1387 mins[111],11.2[111],17.37 E[111],0.02261[110]
TES,	Earth Sciences[112],2001-049A,"1,108 kg (2,443 lb)[112]",,"22 October 2001, 10:03:00 IST[113]",PSLV-C3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",514.6 km (319.8 mi)[114],570.2 km (354.3 mi)[114],95.3 mins[114],97.7[114],,0.00202[113]
INSAT-3C,	Communications[115],2002-002A,"2,750 kg (6,060 lb)[115]",2765 W[116],"24 January 2002, 5:17:00 IST[117]",Ariane-42L H10-3," Centre Spatial Guyanais, Kourou","35,786.9 km (22,236.9 mi)[118]","35,800.6 km (22,245.5 mi)[118]",1436.1 mins[118],0.6[118],93.5 E[118],0.00245[117]
Kalpana-1 (MetSat-1),	Earth Sciences[119],2002-043A,"1,060 kg (2,340 lb)[120]",550 W[119],"12 September 2002, IST",PSLV-C4[121]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,741.2 km (22,208.6 mi)[122]","35,845.9 km (22,273.6 mi)[122]",1436.1 mins[122],6.3[122],74 E[119],
INSAT-3A,"	Communications
		Earth Sciences[123]",2003-013A,"2,950 kg (6,500 lb)[124]",3100 W[124],"10 April 2003, 4:22:00 IST[125]",Ariane-5G," Centre Spatial Guyanais, Kourou","35,874.2 km (22,291.2 mi)[126]","35,980.2 km (22,357.1 mi)[126]",1442.9 mins[126],1.2[126],87 E[126],
"GSAT-2
(GramSat-2)",	Communications[127],2003-018A,"1,900 kg (4,200 lb)[127]",1400 W[127],"8 May 2003, 16:58:00 IST[128]",GSLV-D2[129]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,892.6 km (22,302.6 mi)[130]","35,936.5 km (22,329.9 mi)[130]",1442.3 mins[130],5[130],199 W[130],
INSAT-3E,	Communications[131],2003-043E,"2,775 kg (6,118 lb)[132]",,"28 September 2003, 4:44:00 IST[133]",Ariane-5G," Centre Spatial Guyanais, Kourou","35,576.4 km (22,106.2 mi)[134]","35,716.3 km (22,193.1 mi)[134]",1428.6 mins[134],2.5[134],126.83 E[134],
ResourceSat-1 (IRS-P6),	Earth Sciences[135],2003-046A,"1,360 kg (3,000 lb)[135]",,"17 October 2003, 10:24:00 IST[136]",PSLV-C5[137]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",824.2 km (512.1 mi)[138],829.5 km (515.4 mi)[138],101.3 mins[138],2.5[138],,0.0016[136]
